accountsservice 26.27.3-1.1
alacritty 0.17.0-1.2
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-6.1
alsa-utils 1.2.16-1.1
amd-ucode 1:20260916-1
android-tools 37.0.0-5.1
anki 26.09.2-1.1
awesome-terminal-fonts 1.1.0-5
awww 0.12.1-1.1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bind 9.20.29-1.1
bluez 5.87-2.1
bluez-hid2hci 5.87-2.1
bluez-libs 5.87-2.1
bluez-obex 5.87-2.1
bluez-utils 5.87-2.1
brave-bin 1:1.95.102-1
brightnessctl 0.5.1-3
btop 1.4.7-1.1
btrfs-assistant 2.3.1-1.1
btrfs-progs 7.1-1
cachyos-fish-config 16-1
cachyos-hello 0.28.1-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.19.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 24-1
cachyos-settings 1:1.4.0-1
cachyos-snapper-support 1.0.2-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cantarell-fonts 1:0.311-1
chwd 1.24.1-1
cliphist 1:0.7.0-2.1
cpupower 7.2.6-1
cryptsetup 2.8.8-1.1
cups 2:2.4.19-1
cups-filters 2.0.1-3.1
cups-pdf 3.0.3-1.1
device-mapper 2.03.42-1.1
diffutils 3.12-2.1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.93-1.1
dosfstools 4.2-5.1
duf 0.9.1-1.1
e2fsprogs 1.47.4-1.1
efibootmgr 18-4.1
efitools 1.9.2-7.1
egl-wayland 4:1.1.22-1.1
espeak-ng 1.52.0-1.1
ethtool 1:7.1-1.1
exfatprogs 1.4.3-1.1
f2fs-tools 1.16.0-4.1
fastfetch 2.68.1-1.1
ffmpegthumbnailer 2.3.1-1.1
firefox 156.0-1.1
foomatic-db 3:20260904-1
foomatic-db-engine 5:20200131-2.1
foomatic-db-gutenprint-ppds 5.3.5-1.1
foomatic-db-nonfree 3:20260904-1
foomatic-db-nonfree-ppds 3:20260904-1
foomatic-db-ppds 3:20260904-1
fsarchiver 0.8.9-1.1
fuse2 2.9.9-6
ghostscript 10.08.0-1.1
git 2.55.0-1.1
glances 4.5.6-1
grim 1.5.0-2.1
gsfonts 20200910-6
gst-libav 1.28.7-1.1
gst-plugin-pipewire 1:1.6.8-1
gst-plugin-va 1.28.7-1.1
gst-plugins-bad 1.28.7-1.1
gst-plugins-ugly 1.28.7-1.1
gutenprint 5.3.5-1.1
gvfs-mtp 1.60.3-3
hdparm 9.65-3.1
hplip 1:3.26.6-1.1
hwdetect 2025.08.16.1333-1
hwinfo 25.5-1.1
inetutils 2.8-1.1
iwd 3.12-2.1
jfsutils 1.1.15-9.1
kdeconnect 26.08.1-1.1
kitty 0.48.2-1.1
kvantum 1.1.8-1.1
kvantum-qt5 1.1.8-1.1
less 1:704-1.1
lib32-nvidia-utils 615.71.09-1
lib32-opencl-nvidia 615.71.09-1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-radeon 3:26.2.3-2
libdvdcss 1.6.0-1.1
libgsf 1.14.58-1.1
libopenraw 0.3.7-2.1
libva-nvidia-driver 0.0.18-1.1
limine 12.9.0-1
limine-mkinitcpio-hook 1.37.1-1
limine-snapper-sync 1.31.0-1
linux-cachyos 7.2.6-1
linux-cachyos-headers 7.2.6-1
linux-cachyos-lts 6.18.52-1
linux-cachyos-lts-headers 6.18.52-1
linux-cachyos-lts-nvidia-open 6.18.52-1
